Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
CR7 Brasil,@CR7Brasil,2025-04-01T03:09:12.000Z,True,isso daqui me pega pra caralho,331,2.4K,57K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1676028573889568768/orqATxc8_bigger.jpg,https://x.com/CR7Brasil/status/1906906667801084035,tweet_id:1906906667801084035
Zanfa 2,@ZanfaVive,2025-04-02T00:49:09.000Z,True,Alguém poderia verificar a veracidade desta fotografia?,1.3K,9.8K,82K,2.7M,[],[],[],https://pbs.twimg.com/profile_images/1888022872733478912/na9JRLKy_bigger.jpg,https://x.com/ZanfaVive/status/1907233807540813975,tweet_id:1907233807540813975
"Rob Boyd, Esq",@AvonandsomerRob,2025-04-01T16:49:25.000Z,True,Keir Starmer getting viciously thrown-out of a pub will always be the best thing on the Internet..,1.3K,10K,75K,4.1M,[],[],[],https://pbs.twimg.com/profile_images/1345172029549518851/cLsh84js_bigger.jpg,https://x.com/AvonandsomerRob/status/1907113078665212127,tweet_id:1907113078665212127
evil fucking skeleton,@chumblings,2025-04-02T12:24:14.000Z,False,what scrolling twitter feels like once you mute Elon’s shitty account,66,1.9K,16K,133K,[],[],[],https://pbs.twimg.com/profile_images/1907438183639322626/IKCmkEW5_bigger.jpg,https://x.com/chumblings/status/1907408734675980535,tweet_id:1907408734675980535
Natan Cavalera,@cavalera_natan,2025-04-02T17:05:02.000Z,True,"Nada a declarar, vírgula, ponto de exclamação!",63,1.5K,25K,800K,[],[],[],https://pbs.twimg.com/profile_images/1836763693066985472/E8tu5YRU_bigger.jpg,https://x.com/cavalera_natan/status/1907479397092753711,tweet_id:1907479397092753711
Nayib Bukele,@nayibbukele,2025-04-01T01:57:25.000Z,True,Feliz cumpleaños mi amor ,1.8K,3.6K,74K,1.4M,[],[],['\\U0001f618'],https://pbs.twimg.com/profile_images/1860502932275240960/00Ia992B_bigger.jpg,https://x.com/nayibbukele/status/1906888600689557958,tweet_id:1906888600689557958
Rafael Zattar,@ZattarRafael,2025-04-02T11:16:22.000Z,True,Retrato de 80% do Brasil.,456,1.2K,37K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1215961152892669952/dFWBT1BZ_bigger.jpg,https://x.com/ZattarRafael/status/1907391655562313896,tweet_id:1907391655562313896
Jair M. Bolsonaro,@jairbolsonaro,2025-04-02T17:56:42.000Z,True,"- Por que a PF não buscou testemunhas para esclarecer se Filipe Martins estava ou não no avião presidencial no dia 30 de dezembro de 2022?

- Porque eles queriam usar a prisão para forçar uma delação fajuta? O fato é que Filipe mesmo sob tortura e preso por mais de 6 meses deixou",570,4.6K,18K,190K,[],[],[],https://pbs.twimg.com/profile_images/1614784189462618112/EUGqFFah_bigger.jpg,https://x.com/jairbolsonaro/status/1907492398755885317,tweet_id:1907492398755885317
Planeta do Futebol,@futebol_info,2025-04-01T19:07:46.000Z,True,"""Como é que pode isso, cara? O Neymar vai no pôquer, vai no futebol de 7 e bate 200 pênaltis, e no Santos nada. O Neymar foi cortado da Seleção Brasileira, desfalcou o Santos na semifinal do Paulistão… se ele está machucado, ele pode fazer tudo isso?""

""Como é que pode vocês",512,1.2K,24K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1844322505500102664/hSBJer63_bigger.jpg,https://x.com/futebol_info/status/1907147896962580521,tweet_id:1907147896962580521
André Rizek,@andrizek,2025-04-02T13:24:29.000Z,True,É para ele que o Brasil tem que jogar. Pra ele! Que o próximo técnico entenda isso.,2.7K,1.2K,21K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1772007092301320192/3Y1IqrN0_bigger.jpg,https://x.com/andrizek/status/1907423895059067061,tweet_id:1907423895059067061
Narendra Modi,@narendramodi,2025-04-01T03:06:48.000Z,True,ಪರಮಪೂಜ್ಯ ಡಾ. ಶ್ರೀ ಶ್ರೀ ಶ್ರೀ ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿ ಅವರ ಜಯಂತಿಯ ಈ ವಿಶೇಷ ಸಂದರ್ಭದಲ್ಲಿ ಅವರಿಗೆ ಹೃತ್ಪೂರ್ವಕ ನಮನಗಳು. ಕಾರುಣ್ಯ ಮತ್ತು ದಣಿವರಿಯದ ಸೇವೆಯ ದಾರಿದೀಪವೆಂದು ಅವರನ್ನು ಸ್ಮರಿಸಲಾಗುತ್ತದೆ. ನಿಸ್ವಾರ್ಥ ಸೇವೆಯು ಸಮಾಜವನ್ನು ಹೇಗೆ ಪರಿವರ್ತಿಸುತ್ತದೆ ಎಂಬುದನ್ನು ಅವರು ತೋರಿಸಿದ್ದಾರೆ. ನಾನಾ ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಅವರ ಅಸಾಧಾರಣ,607,3.5K,20K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_bigger.jpg,https://x.com/narendramodi/status/1906906062688759896,tweet_id:1906906062688759896
Joe Rogan Podcast,@joeroganhq,2025-04-01T15:23:37.000Z,True,"If you wanna be great, gotta train.",629,237,2.7K,743K,[],[],[],https://pbs.twimg.com/profile_images/1564559752339660801/Odiw9Cza_bigger.jpg,https://x.com/joeroganhq/status/1907091489441890639,tweet_id:1907091489441890639
Elon Musk,@elonmusk,2025-04-02T06:36:15.000Z,True,Of course,5.1K,8.9K,99K,29M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907321160787722241,tweet_id:1907321160787722241
Talys Henrique,@Talys_henr7,2025-04-01T13:20:04.000Z,False,SEUS PAIS NÃO ERAM RICOS. Mas você nunca dormiu com fome. Seja grato pelos sacrifícios deles,88,8.7K,70K,1M,[],[],[],https://pbs.twimg.com/profile_images/1903330017876062209/WLrFQrWI_bigger.jpg,https://x.com/Talys_henr7/status/1907060396155920687,tweet_id:1907060396155920687
Elon Musk,@elonmusk,2025-04-02T06:05:57.000Z,True,This is what happens if you take DayQuil & NyQuil at the same time,9.1K,15K,141K,20M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907313533995368878,tweet_id:1907313533995368878
Elon Musk,@elonmusk,2025-04-02T19:42:41.000Z,True,"Yeah, fake news",4.9K,12K,73K,20M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907519073287635313,tweet_id:1907519073287635313
Elon Musk,@elonmusk,2025-04-02T07:10:10.000Z,True,"As I said a few years ago, the AI scaling constraint will move from chips to voltage transformers to electricity generation. 

That is worrying for US leadership in AI long-term.",2.2K,6.1K,33K,20M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1907329696523850204,tweet_id:1907329696523850204
RadioGenoa,@RadioGenoa,2025-04-01T05:17:16.000Z,True,These people are not retarded but terrorists and must be treated as such.,14K,19K,72K,3.5M,[],[],[],https://pbs.twimg.com/profile_images/1693676486668976128/5ckTrHlt_bigger.jpg,https://x.com/RadioGenoa/status/1906938895511482389,tweet_id:1906938895511482389
Donald J. Trump,@realDonaldTrump,2025-04-02T15:47:38.000Z,True,,5.8K,17K,89K,18M,[],[],[],https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_bigger.jpg,https://x.com/realDonaldTrump/status/1907459922113028104,tweet_id:1907459922113028104
Elon Musk (Parody),@ElonMuskAOC,2025-04-02T00:51:11.000Z,True,"China has flying taxis

America is falling behind",443,581,2.8K,480K,[],[],[],https://pbs.twimg.com/profile_images/1785089965619118080/NATKmh45_bigger.jpg,https://x.com/ElonMuskAOC/status/1907234322568118470,tweet_id:1907234322568118470
TV Globo,@tvglobo,2025-04-02T13:55:27.000Z,True,CHEGAMOS NO TOP 10  Para quem vai a sua torcida? Quem merece levar o grande prêmio do #BBB25? #RedeBBB,1.4K,330,2.9K,527K,"['#BBB25', '#RedeBBB']",[],['\\U0001f3c6'],https://pbs.twimg.com/profile_images/1907496291577245696/kP5PgW7__bigger.jpg,https://x.com/tvglobo/status/1907431686234624419,tweet_id:1907431686234624419
Marina Sena,@amarinasena,2025-04-02T14:39:56.000Z,True,"Gnt, eu tô chocadaaaa",427,369,10K,199K,[],[],[],https://pbs.twimg.com/profile_images/1904182921650446336/nTQbMTiL_bigger.jpg,https://x.com/amarinasena/status/1907442881045950906,tweet_id:1907442881045950906
TESLA CARS ONLY.,@teslacarsonly,2025-04-01T09:47:23.000Z,True,Tesla Black Panther.,382,433,2.9K,42K,[],[],[],https://pbs.twimg.com/profile_images/1766825443410284546/EM6O36b8_bigger.png,https://x.com/teslacarsonly/status/1907006872097263855,tweet_id:1907006872097263855
JD Vance,@JDVance,2025-04-01T14:32:40.000Z,True,"Joe Biden sanctioned an invasion of the United States. We have approximately 20 million illegal aliens in this country. Their victims are measured in longer wait times for hospitals, overwhelmed schools, and murder victims the media largely ignored. 

The media has deteremined",7.2K,27K,130K,4.7M,[],[],[],https://pbs.twimg.com/profile_images/1817220042578173953/5r-Qpvgt_bigger.jpg,https://x.com/JDVance/status/1907078664614780991,tweet_id:1907078664614780991
Sabedoria desbalanceada,@sabedoriabixo,2025-04-02T12:54:03.000Z,False,,86,824,23K,364K,[],[],[],https://pbs.twimg.com/profile_images/1305142906932654086/HE-U5y6K_bigger.jpg,https://x.com/sabedoriabixo/status/1907416234615803974,tweet_id:1907416234615803974
Elon Musk News,@musk_news13,2025-04-01T12:55:26.000Z,True,"Would you accept this Tesla for free ?

Yes or No

Be honest!",13K,2.4K,34K,739K,[],[],[],https://pbs.twimg.com/profile_images/1892170073214722048/kCOSqxe3_bigger.jpg,https://x.com/musk_news13/status/1907054195363979354,tweet_id:1907054195363979354
Noite de Copa,@Noitedecopa,2025-04-01T18:18:04.000Z,True,"Da série “contratações de mentira”, qual foi a “quase contratação” mais marcante?

*Imagem meramente ilustrativa",189,205,10K,918K,[],[],[],https://pbs.twimg.com/profile_images/1890496148575551489/hWPChcvM_bigger.jpg,https://x.com/Noitedecopa/status/1907135391267750290,tweet_id:1907135391267750290
Jesse Watters,@JesseBWatters,2025-04-01T21:12:46.000Z,True,"NEW:  says fake charity NGOs, which are overwhelmingly run by Democrats, are running a massive money laundering scheme to take your money. He says that the terms NGO and money laundering are almost synonymous.",686,7.2K,25K,410K,[],['@elonmusk'],[],https://pbs.twimg.com/profile_images/1484644123722326031/aM9VLQKO_bigger.jpg,https://x.com/JesseBWatters/status/1907179353542185281,tweet_id:1907179353542185281
Elon Musk,@elonmusk,2025-04-01T06:24:43.000Z,True,,14K,34K,218K,70M,[],[],['\\u2696\\ufe0f'],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_bigger.jpg,https://x.com/elonmusk/status/1906955871298486470,tweet_id:1906955871298486470
DataFut,@DataFutebol,2025-04-02T17:01:38.000Z,True,NETO RESPONDENDO O NEYMAR APÓS O NEYMAR CHAMAR ELE DE “Maior falastrão da TV Brasileira”,139,416,5.5K,304K,[],[],[],https://pbs.twimg.com/profile_images/1839047548683554816/oZ-zBzvH_bigger.jpg,https://x.com/DataFutebol/status/1907478544235520274,tweet_id:1907478544235520274
Rodrogo,@rodrogao,2025-04-01T13:43:09.000Z,False,Realidade: reclamar pra caralho na cabeça do malandro,282,5.8K,57K,2M,[],[],[],https://pbs.twimg.com/profile_images/1894035849345409025/QxMx-kru_bigger.jpg,https://x.com/rodrogao/status/1907066206206451786,tweet_id:1907066206206451786
Bitcoin,@Bitcoin,2025-04-01T23:00:32.000Z,True,Which of your friends is going after an altcoin?,947,2.3K,17K,6.1M,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_bigger.jpeg,https://x.com/Bitcoin/status/1907206475426258972,tweet_id:1907206475426258972
