Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Ministério da Educação | MEC,@min_educacao,2023-05-23T22:09:42.000Z,True," O MEC realiza, nesta quarta (24), audiência pública com o Foncede para receber proposições para a #ConsultaPúblicaEnsinoMédio, a partir das 14h (horário de Brasília), com transmissão ao vivo pelo canal do MEC no YouTube. #MecNasRedes",4,2,11,594,"['#ConsultaPúblicaEnsinoMédio', '#MecNasRedes']",[],['\\U0001f50e'],https://pbs.twimg.com/profile_images/1908182543783841792/TEPaxQ8q_bigger.jpg,https://x.com/min_educacao/status/1661132322983276547,tweet_id:1661132322983276547
Consed,@ConsedBR,2023-05-23T16:52:53.000Z,False,"Na ocasião, foi reforçado o convite para que os secretários estaduais participem da audiência pública que será realizada no próximo dia 6 de junho, no auditório do Conselho Nacional de Educação – CNE, em Brasília.",1,0,0,30,[],[],[],https://pbs.twimg.com/profile_images/1829524511982579712/5F2D8cV0_bigger.jpg,https://x.com/ConsedBR/status/1661052593123082244,tweet_id:1661052593123082244
Aprofurg,@aprofurg,2023-05-23T16:32:34.000Z,False,"A presidenta da Aprofurg - Seção Sindical do ANDES-SN, Marcia Umpierre está em Brasília na Semana de Lutas das Instituições Estaduais e Municipais de Ensino Superior (Iees/Imes). A Semana, organizada pelo ANDES-SN, tem como mote central ""Em Defesa da Educação Pública:",1,0,1,64,[],[],[],https://pbs.twimg.com/profile_images/1713549447605387265/oou2np0I_bigger.jpg,https://x.com/aprofurg/status/1661047480761417733,tweet_id:1661047480761417733
Sesunipampa,@SESUNIPAMPA1,2023-05-22T21:43:01.000Z,False,"Nos próximos dias, já a partir da segunda-feira (22), docentes das universidades, institutos federais e cefets participam da Semana de Mobilização pela Campanha Salarial 2024"", em Brasília, em defesa da educação pública e pela reposição das perdas salariais dos últimos anos.",1,2,8,551,[],[],[],https://pbs.twimg.com/profile_images/1405504393169014784/j3ED3fEs_bigger.jpg,https://x.com/SESUNIPAMPA1/status/1660763220607483909,tweet_id:1660763220607483909
Jeduca,@JeducaEduca,2023-05-22T18:16:22.000Z,False, O edital oferece seis (6) bolsas de R$ 8 mil para a produção de uma reportagem ou uma série de reportagens sobre educação pública brasileira.  As inscrições do edital podem ser feitas até às 23h59 (Brasília) do dia 7 de julho em https://jeduca.org.br/edital/,1,0,0,37,[],[],"['\\U0001f535', '\\u27a1\\ufe0f']",https://pbs.twimg.com/profile_images/1165645259344437248/mGiEC6bB_bigger.png,https://x.com/JeducaEduca/status/1660711213859315718,tweet_id:1660711213859315718
Frente Parlamentar Mista da Educação,@fpeducacao,2023-05-20T17:44:07.000Z,False,"Anísio Teixeira: Considerado um dos pioneiros da educação no Brasil, Anísio Teixeira foi um pedagogo, jurista e escritor. Ele foi um defensor da escola pública de qualidade e desempenhou um papel fundamental na criação da Universidade de Brasília (UnB).+",1,0,1,25,[],[],[],https://pbs.twimg.com/profile_images/1163976804635488258/ndXgrnDs_bigger.png,https://x.com/fpeducacao/status/1659978323450118144,tweet_id:1659978323450118144
BandNews FM Brasília,@bandnewsbsb,2023-05-17T21:33:36.000Z,False,"Se reuniu com o Sinpro-DF para apresentar uma proposta para a categoria.

Desde o dia 4, 89 das 831 escolas da rede pública estão com 100% do efetivo paralisado, segundo a Secretaria de Educação.",1,0,0,221,[],[],[],https://pbs.twimg.com/profile_images/1351313545703653376/12golfa1_bigger.jpg,https://x.com/bandnewsbsb/status/1658948911472467971,tweet_id:1658948911472467971
Agência Brasília,@AgenciaBrasilia,2023-05-10T15:41:13.000Z,False,"#IMPRENSA | 230510_GDF e Sinpro discutem demandas dos professores da rede públicaLink para download: https://bit.ly/3nM8zn9Este pacote contém:

•Entrevistas:
-Secretária de Educação do DF, Hélvia Paranaguá;
-Diretora do Sinpro-DF, Luciana Custódio.

1/2",1,0,0,270,['#IMPRENSA'],[],[],https://pbs.twimg.com/profile_images/1587505169117347840/sjjvwZ7v_bigger.jpg,https://x.com/AgenciaBrasilia/status/1656323516386377728,tweet_id:1656323516386377728
Prof Carlos Giannazi,@carlosgiannazi,2023-05-10T12:00:46.000Z,False,A luta da educação infantil chegou em Brasília! Audiência Pública da deputada  reuniu especialistas e mais de 80 mulheres de todo o Brasil para reforçar a importância da valorização e enquadramento dessas educadoras na carreira do magistério. #SomosTodasProfessoras,0,1,14,372,['#SomosTodasProfessoras'],['@_lucavalcante'],[],https://pbs.twimg.com/profile_images/1577692607689392128/7ySfCozk_bigger.jpg,https://x.com/carlosgiannazi/status/1656268036230316033,tweet_id:1656268036230316033
Fernanda Miranda,@femirandapsol,2023-05-08T19:37:47.000Z,False,"Segundou com agenda em Brasília. Participo nesse momento de uma importante Audiência Pública da Comissão de Educação ""Em Defesa das Educadoras infantis e primeiríssima infância"" ao lado da Letícia que representa as Auxiliares de Ed. Infantil de Pelotas na luta por valorização! ",0,3,32,1.6K,[],[],['\\u270a\\U0001f3fc'],https://pbs.twimg.com/profile_images/1824460847202144257/fn0QyqOH_bigger.jpg,https://x.com/femirandapsol/status/1655658271250808834,tweet_id:1655658271250808834
